UserID,DeviceType,UsageHoursPerDay,EnergyConsumption,UserPreferences,MalfunctionIncidents,DeviceAgeMonths,SmartHomeEfficiency,,
1,Smart Speaker,15.30718848,1.961606817,1,4,36,1,,
2,Camera,19.97334329,8.610688922,1,0,29,1,,
3,Security System,18.91153466,2.651776635,1,0,20,1,,
4,Camera,7.011127368,2.34165309,0,3,15,0,,
5,Camera,22.61068398,4.859069159,1,3,36,1,,
6,Thermostat,3.422127274,5.038625135,1,0,3,1,,
7,Security System,21.06564004,2.229343765,0,0,56,0,,
8,Security System,23.31709587,2.791421195,0,0,53,0,,
9,Security System,4.663107796,1.780081868,1,2,23,1,,
10,Camera,17.46855251,7.212755765,1,4,58,0,,
11,Smart Speaker,1.446709691,7.723881409,0,3,54,0,,
12,Security System,10.02743639,4.677052125,0,3,46,0,,Row Labels
13,Camera,12.63265753,7.169461525,1,1,9,1,,Camera
14,Thermostat,14.14516281,7.38576038,0,2,30,0,,Lights
15,Smart Speaker,22.49452533,1.468927724,0,0,19,1,,Security System
16,Thermostat,16.29789115,9.665162446,1,0,38,1,,Smart Speaker
17,Smart Speaker,11.81003185,8.228216276,1,2,3,1,,Thermostat
18,Camera,19.52736335,2.124386266,0,3,50,0,,Grand Total
19,Lights,22.83752129,1.943033854,1,0,48,1,,
20,Smart Speaker,1.018554494,1.344045341,1,1,3,1,,
21,Thermostat,23.5892499,1.469947769,1,3,34,1,,
22,Camera,2.524105268,7.50680181,1,4,2,0,,
23,Smart Speaker,19.63808931,4.749577144,1,2,58,1,,
24,Lights,7.087866685,7.85104831,0,3,27,0,,
25,Lights,3.606221957,7.487923454,0,4,23,0,,
26,Security System,10.83660753,6.085665864,1,1,42,0,,
27,Security System,15.63297962,6.895029405,1,2,32,1,,
28,Thermostat,9.452368358,0.281721671,1,0,47,1,,
29,Smart Speaker,1.782287095,3.186598703,0,0,35,0,,
30,Smart Speaker,14.58733678,6.414439575,0,4,40,0,,
31,Security System,21.70647699,0.19251504,0,3,18,0,,
32,Smart Speaker,9.5055611,0.426471742,0,1,27,0,,
33,Smart Speaker,5.583820274,8.533691026,1,4,11,0,,
34,Lights,10.90056763,6.871846131,1,1,39,0,,
35,Security System,1.63652371,2.727160358,0,1,19,0,,
36,Camera,19.78145824,6.910832117,0,1,25,0,,
37,Security System,19.91900906,7.945321024,1,2,7,1,,
38,Camera,14.31801089,3.137263403,1,4,31,1,,
39,Lights,8.79791789,0.456770037,1,2,57,1,,
40,Thermostat,19.29490906,9.334513334,1,3,2,1,,
41,Smart Speaker,13.53514508,3.517280399,1,3,38,1,,
42,Lights,19.90940925,1.154169457,0,0,5,1,,
43,Smart Speaker,15.33928163,4.969383027,1,0,14,1,,
44,Thermostat,18.93352862,7.707831177,0,0,18,0,,
45,Thermostat,14.56623034,2.294308415,0,3,36,0,,
46,Lights,10.2323151,2.767951496,1,1,4,1,,
47,Thermostat,23.01172771,2.502878369,0,1,24,0,,
48,Camera,13.21617488,9.917563223,0,4,13,0,,
49,Thermostat,14.71960369,2.054296964,1,3,55,1,,
50,Smart Speaker,5.681459526,5.797650148,0,0,21,0,,
51,Smart Speaker,15.20279355,9.260119952,1,3,57,0,,
52,Smart Speaker,13.93277976,1.554276032,1,1,33,1,,
53,Smart Speaker,4.843702352,9.711456559,0,1,20,0,,
54,Camera,1.900296788,9.480024621,1,2,5,0,,
55,Security System,14.70244401,8.857262672,1,2,24,1,,
56,Lights,18.44676833,2.224109561,0,4,35,0,,
57,Smart Speaker,12.79993222,6.377145055,1,3,30,1,,
58,Thermostat,5.829156695,7.632825582,0,2,28,0,,
59,Smart Speaker,16.16326645,9.861676489,0,2,53,0,,
60,Thermostat,2.382484575,1.886195839,1,3,51,0,,
61,Thermostat,10.88309206,7.683656405,0,1,45,0,,
62,Smart Speaker,4.339118822,3.454131582,1,4,7,1,,
63,Camera,4.8347877,1.838702009,0,4,42,0,,
64,Thermostat,5.253907805,4.271631718,1,4,35,1,,
65,Thermostat,9.587615841,7.95897553,1,2,55,0,,
66,Smart Speaker,1.702029832,4.702013057,0,1,30,0,,
67,Thermostat,9.848145862,5.421478692,0,4,34,0,,
68,Thermostat,12.52512501,9.952078161,1,3,39,0,,
